Date,Set,Order,Age,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,ProblemE,AudacityAmp,Amp,EP5,HSUnotes,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,LtoH,EPPBK,EP3m,PropH,NumHat,DorsalIMG1,DorsalIMG2,DorsalIMG3
20160727,15,56,5,N,17,26,40,17.44444444,137.4444444,C492,1,14,NA,0.12,,14,NA,17,32,15,17.5375,1052.25,137.5375,NA,NA,NA,NA,NA,NA,14,14,0,0,6127,6134,6137
20160731,16,57,5,N,15,2,57,15.04916667,135.0491667,C512,1,11,NA,0.01,,6,NA,15,10,0,15.16666667,910,135.1666667,15,10,32,15.17555556,910.5333333,0.533333333,3,2,0.666666667,4,6206,6207,6209
20160731,16,58,5,N,15,37,44,15.62888889,135.6288889,C511,3,15,NA,0.25,,15,NA,15,44,0,15.73333333,944,135.7333333,NA,NA,NA,NA,NA,NA,15,15,0,0,6213,6214,6217
20160731,16,59,5,N,15,55,38,15.92722222,135.9272222,C511,5,13,NA,0.05,,13,NA,16,3,4,16.05111111,963.0666667,136.0511111,NA,NA,NA,NA,NA,NA,13,13,0,0,6219,6220,6221
20160731,17,60,5,Y,16,14,10,16.23611111,136.2361111,C511,1,12,NA,0.12,,11,NA,16,19,36,16.32666667,979.6,136.3266667,16,21,19,16.35527778,981.3166667,1.716666667,10,10,0.090909091,1,6223,6225,6226
20160731,17,61,5,Y,17,2,4,17.03444444,137.0344444,C511,4,12,NA,0.01,,10,NA,17,9,21,17.15583333,1029.35,137.1558333,NA,NA,NA,NA,NA,NA,10,9,0.1,1,6228,6229,6230
20160731,17,62,5,Y,17,36,45,17.6125,137.6125,C511,2,9,NA,0.05,,8,NA,17,42,32,17.70888889,1062.533333,137.7088889,NA,NA,NA,NA,NA,NA,8,8,0,0,6231,6232,6233
20160731,17,63,5,Y,17,53,23,17.88972222,137.8897222,C510,1,6,NA,0.25,,5,NA,17,59,10,17.98611111,1079.166667,137.9861111,NA,NA,NA,NA,NA,NA,5,5,0,0,6236,6238,6239
20160731,18,64,5,N,18,11,30,18.19166667,138.1916667,C510,2,6,NA,0.01,,5,NA,18,17,22,18.28944444,1097.366667,138.2894444,NA,NA,NA,NA,NA,NA,6,6,-0.2,-1,6243,6244,6245
20160731,18,65,5,N,18,28,15,18.47083333,138.4708333,C510,3,7,NA,0.12,,5,NA,18,34,11,18.56972222,1114.183333,138.5697222,NA,NA,NA,NA,NA,NA,6,6,-0.2,-1,6249,6250,6251
20160726,18,66,5,N,19,52,42,19.87833333,139.8783333,C487,2,9,NA,0.05,,4,NA,19,57,50,19.96388889,1197.833333,139.9638889,20,0,0,20,1200,2.166666667,0,0,1,4,6077,6079,6080
20160802,19,67,5,Y,15,7,10,15.11944444,135.1194444,C525,1,13,NA,0.05,,13,NA,15,12,18,15.205,912.3,135.205,15,15,50,15.26388889,915.8333333,3.533333333,10,8,0.384615385,5,6263,6264,6266
20160802,19,68,5,Y,15,25,35,15.42638889,135.4263889,C519,2,15,NA,0.01,,10,NA,15,32,14,15.53722222,932.2333333,135.5372222,15,35,43,15.59527778,935.7166667,3.483333333,9,9,0.1,1,6269,6270,6271
20160802,19,69,5,Y,15,43,50,15.73055556,135.7305556,C525,2,13,NA,0.25,,12,NA,15,50,11,15.83638889,950.1833333,135.8363889,15,52,2,15.86722222,952.0333333,1.85,10,10,0.166666667,2,6272,6274,6275
20160802,19,70,5,Y,16,2,27,16.04083333,136.0408333,C522,1,13,NA,0.12,,13,NA,16,7,42,16.12833333,967.7,136.1283333,16,9,8,16.15222222,969.1333333,1.433333333,6,5,0.615384615,8,6278,6279,6281
20160802,20,71,5,Y,16,20,0,16.33333333,136.3333333,C521,2,15,NA,0.25,,14,NA,16,25,52,16.43111111,985.8666667,136.4311111,16,27,35,16.45972222,987.5833333,1.716666667,12,12,0.142857143,2,6284,6287,6288
20160802,20,72,5,Y,16,39,15,16.65416667,136.6541667,C519,3,12,NA,0.12,,5,NA,16,44,42,16.745,1004.7,136.745,16,45,38,16.76055556,1005.633333,0.933333333,3,3,0.4,2,6290,6293,6295
20160802,20,73,5,Y,16,56,18,16.93833333,136.9383333,C519,1,13,NA,0.01,,6,NA,17,1,18,17.02166667,1021.3,137.0216667,17,3,8,17.05222222,1023.133333,1.833333333,3,3,0.5,3,6296,6298,6299
20160802,20,74,5,Y,17,12,13,17.20361111,137.2036111,C521,1,14,NA,0.05,,12,NA,17,18,5,17.30138889,1038.083333,137.3013889,17,19,55,17.33194444,1039.916667,1.833333333,10,10,0.166666667,2,6304,6307,6308
20160802,21,75,5,Y,17,30,40,17.51111111,137.5111111,C517,1,13,NA,0.12,,9,NA,17,36,5,17.60138889,1056.083333,137.6013889,17,37,24,17.62333333,1057.4,1.316666667,1,1,0.888888889,8,6311,6312,6314
20160802,21,76,5,Y,17,48,10,17.80277778,137.8027778,C522,2,13,NA,0.05,,13,NA,17,53,39,17.89416667,1073.65,137.8941667,17,55,6,17.91833333,1075.1,1.45,8,7,0.461538462,6,6316,6317,6318
20160802,21,77,5,Y,18,5,24,18.09,138.09,C517,2,12,NA,0.25,,7,NA,18,11,47,18.19638889,1091.783333,138.1963889,18,12,37,18.21027778,1092.616667,0.833333333,1,0,1,7,6319,6320,6321
20160802,21,78,5,Y,18,20,45,18.34583333,138.3458333,C517,3,14,NA,0.01,,11,NA,18,25,34,18.42611111,1105.566667,138.4261111,18,26,27,18.44083333,1106.45,0.883333333,10,8,0.272727273,3,6325,6326,6327
20160803,22,79,5,Y,15,3,20,15.05555556,135.0555556,C536,3,13,NA,0.25,,11,NA,15,11,46,15.19611111,911.7666667,135.1961111,15,14,34,15.24277778,914.5666667,2.8,7,7,0.363636364,4,6336,6338,6340
20160803,22,80,5,Y,15,23,40,15.39444444,135.3944444,C535,2,14,NA,0.05,,14,NA,15,30,5,15.50138889,930.0833333,135.5013889,15,31,7,15.51861111,931.1166667,1.033333333,13,13,0.071428571,1,6341,6342,6345
20160803,22,81,5,Y,15,44,45,15.74583333,135.7458333,C536,2,14,NA,0.12,,14,NA,15,52,7,15.86861111,952.1166667,135.8686111,NA,NA,NA,NA,NA,NA,14,14,0,0,6347,6349,6351
20160803,22,82,5,Y,16,7,0,16.11666667,136.1166667,C526,1,14,NA,0.01,,13,NA,16,13,27,16.22416667,973.45,136.2241667,NA,NA,NA,NA,NA,NA,13,13,0,0,6353,6354,6355
